0.01,5.09E-10,-5.68E+00,5.68E+00,-90
0.04,-2.64E-10,-1.54E+00,1.54E+00,-90
0.07,9.45E-09,-1.07E+00,1.07E+00,-90
0.1,1.93E-07,-9.86E-01,9.86E-01,-90
0.13,1.68E-06,-9.76E-01,9.76E-01,-90
0.16,8.46E-06,-9.70E-01,9.70E-01,-90
0.19,4.18E-05,-9.44E-01,9.44E-01,-89.997
0.22,1.15E-04,-9.37E-01,9.37E-01,-89.993
0.25,2.97E-04,-9.20E-01,9.20E-01,-89.982
0.28,6.75E-04,-8.97E-01,8.97E-01,-89.957
0.31,1.38E-03,-8.69E-01,8.69E-01,-89.909
0.34,2.56E-03,-8.35E-01,8.35E-01,-89.825
0.37,4.37E-03,-7.96E-01,7.96E-01,-89.686
0.4,6.90E-03,-7.50E-01,7.50E-01,-89.473
0.43,1.01E-02,-6.99E-01,6.99E-01,-89.168
0.46,1.39E-02,-6.42E-01,6.42E-01,-88.757
0.49,1.79E-02,-5.79E-01,5.80E-01,-88.235
0.52,2.14E-02,-5.13E-01,5.13E-01,-87.612
0.55,2.38E-02,-4.43E-01,4.43E-01,-86.918
0.58,2.43E-02,-3.69E-01,3.70E-01,-86.227
0.61,2.21E-02,-2.93E-01,2.94E-01,-85.681
0.64,1.66E-02,-2.13E-01,2.14E-01,-85.546
0.67,8.50E-03,-1.29E-01,1.29E-01,-86.217
0.7,1.54E-03,-3.83E-02,3.83E-02,-87.692
0.73,1.91E-03,5.56E-02,5.56E-02,88.033
0.76,1.38E-02,1.47E-01,1.48E-01,84.615
0.79,3.96E-02,2.30E-01,2.33E-01,80.223
0.82,8.27E-02,2.96E-01,3.07E-01,74.368
0.85,1.43E-01,3.30E-01,3.59E-01,66.56
0.88,2.02E-01,3.15E-01,3.74E-01,57.385
0.91,2.29E-01,2.60E-01,3.47E-01,48.66
0.94,2.16E-01,1.95E-01,2.91E-01,42.139
0.97,1.77E-01,1.41E-01,2.27E-01,38.574
1,1.28E-01,1.03E-01,1.64E-01,38.658
1.03,8.11E-02,7.92E-02,1.13E-01,44.325
1.06,4.44E-02,6.58E-02,7.94E-02,55.995
1.09,2.06E-02,5.42E-02,5.80E-02,69.211
1.12,5.38E-03,4.02E-02,4.06E-02,82.385
1.15,-4.84E-03,2.46E-02,2.51E-02,101.103
1.18,-1.16E-02,9.23E-03,1.48E-02,141.494
1.21,-1.55E-02,-5.00E-03,1.62E-02,-162.055
1.24,-1.82E-02,-1.81E-02,2.57E-02,-135.282
1.27,-2.31E-02,-2.44E-02,3.36E-02,-133.453
1.3,-1.95E-02,-2.28E-02,3.00E-02,-130.607
1.33,-1.15E-02,-2.34E-02,2.61E-02,-116.157
1.36,-4.41E-03,-2.43E-02,2.47E-02,-100.297
1.39,1.11E-03,-2.40E-02,2.40E-02,-87.357
1.42,4.75E-03,-2.31E-02,2.36E-02,-78.405
1.45,3.70E-03,-2.27E-02,2.30E-02,-80.762
1.48,-2.62E-03,-1.29E-02,1.31E-02,-101.523
0.01,7.01E-10,-1.00E+00,1.00E+00,-90
0.04,2.89E-11,-2.71E-01,2.71E-01,-90
0.07,1.97E-09,-1.88E-01,1.88E-01,-90
0.1,3.47E-08,-1.73E-01,1.73E-01,-90
0.13,2.79E-07,-1.70E-01,1.70E-01,-90
0.16,1.74E-06,-1.69E-01,1.69E-01,-89.999
0.19,6.24E-06,-1.66E-01,1.66E-01,-89.998
0.22,1.87E-05,-1.62E-01,1.62E-01,-89.993
0.25,4.77E-05,-1.58E-01,1.58E-01,-89.983
0.28,1.06E-04,-1.53E-01,1.53E-01,-89.96
0.31,2.09E-04,-1.47E-01,1.47E-01,-89.919
0.34,3.69E-04,-1.41E-01,1.41E-01,-89.85
0.37,5.87E-04,-1.33E-01,1.33E-01,-89.747
0.4,8.33E-04,-1.25E-01,1.25E-01,-89.618
0.43,1.03E-03,-1.16E-01,1.16E-01,-89.493
0.46,9.98E-04,-1.07E-01,1.07E-01,-89.463
0.49,4.71E-04,-9.67E-02,9.67E-02,-89.721
0.52,-9.89E-04,-8.64E-02,8.64E-02,-90.656
0.55,-3.99E-03,-7.53E-02,7.54E-02,-93.034
0.58,-9.22E-03,-6.24E-02,6.30E-02,-98.406
0.61,-1.67E-02,-4.49E-02,4.79E-02,-110.336
0.64,-2.21E-02,-1.83E-02,2.87E-02,-140.353
0.67,-1.16E-02,1.51E-02,1.90E-02,127.631
0.7,1.66E-02,3.07E-02,3.49E-02,61.669
0.73,3.50E-02,2.46E-02,4.28E-02,35.171
0.76,3.82E-02,1.62E-02,4.15E-02,22.951
0.79,3.46E-02,1.19E-02,3.66E-02,19.022
0.82,2.94E-02,1.13E-02,3.15E-02,20.944
0.85,2.49E-02,1.23E-02,2.77E-02,26.368
0.88,2.19E-02,1.34E-02,2.57E-02,31.415
0.91,2.06E-02,1.29E-02,2.43E-02,32.141
0.94,2.01E-02,9.75E-03,2.24E-02,25.858
0.97,1.94E-02,3.04E-03,1.96E-02,8.928
1,1.61E-02,-7.96E-03,1.80E-02,-26.311
1.03,4.75E-03,-2.32E-02,2.37E-02,-78.452
1.06,-2.68E-02,-2.97E-02,4.00E-02,-132.117
1.09,-4.55E-02,6.67E-03,4.60E-02,171.663
1.12,-2.17E-02,2.38E-02,3.22E-02,132.273
1.15,-5.24E-03,1.78E-02,1.86E-02,106.353
1.18,2.55E-03,6.98E-03,7.43E-03,69.963
1.21,6.81E-04,-5.47E-03,5.51E-03,-82.899
1.24,-5.76E-03,-6.59E-03,8.75E-03,-131.15
1.27,-5.54E-03,-5.70E-03,7.95E-03,-134.151
1.3,-4.43E-03,-6.45E-03,7.82E-03,-124.472
1.33,-3.73E-03,-7.59E-03,8.46E-03,-116.173
1.36,-3.77E-03,-8.71E-03,9.49E-03,-113.375
1.39,-4.99E-03,-9.22E-03,1.05E-02,-118.407
1.42,-7.03E-03,-7.99E-03,1.06E-02,-131.346
1.45,-8.81E-03,-4.96E-03,1.01E-02,-150.621
1.48,-1.01E-02,4.08E-04,1.01E-02,177.69
0.01,1.00E+00,-2.28E-10,1.00E+00,0
0.04,1.00E+00,-1.46E-09,1.00E+00,0
0.07,1.00E+00,-2.11E-08,1.00E+00,0
0.1,1.00E+00,-1.95E-07,1.00E+00,0
0.13,1.00E+00,-1.22E-06,1.00E+00,0
0.16,1.01E+00,-6.33E-06,1.01E+00,0
0.19,1.02E+00,-2.91E-05,1.02E+00,-0.002
0.22,1.04E+00,-1.19E-04,1.04E+00,-0.007
0.25,1.08E+00,-4.55E-04,1.08E+00,-0.024
0.28,1.20E+00,-1.82E-03,1.20E+00,-0.087
0.31,1.75E+00,-1.26E-02,1.75E+00,-0.412
0.34,-8.31E-01,-1.43E-02,8.31E-01,-179.016
0.37,3.19E-01,3.46E-04,3.19E-01,0.062
0.4,4.74E-01,-3.85E-03,4.74E-01,-0.465
0.43,5.21E-01,-1.30E-02,5.21E-01,-1.43
0.46,5.32E-01,-3.01E-02,5.33E-01,-3.231
0.49,5.25E-01,-5.91E-02,5.28E-01,-6.425
0.52,4.97E-01,-1.03E-01,5.07E-01,-11.697
0.55,4.38E-01,-1.55E-01,4.65E-01,-19.529
0.58,3.45E-01,-1.94E-01,3.96E-01,-29.41
0.61,2.38E-01,-1.95E-01,3.07E-01,-39.355
0.64,1.51E-01,-1.64E-01,2.23E-01,-47.246
