0.01,5.15E-10,-5.75E+00,5.75E+00,-90
0.04,-2.67E-10,-1.56E+00,1.56E+00,-90
0.07,9.55E-09,-1.08E+00,1.08E+00,-90
0.1,1.95E-07,-9.97E-01,9.97E-01,-90
0.13,1.70E-06,-9.87E-01,9.87E-01,-90
0.16,8.56E-06,-9.81E-01,9.81E-01,-90
0.19,4.23E-05,-9.55E-01,9.55E-01,-89.997
0.22,1.17E-04,-9.48E-01,9.48E-01,-89.993
0.25,3.00E-04,-9.30E-01,9.30E-01,-89.982
0.28,6.83E-04,-9.07E-01,9.07E-01,-89.957
0.31,1.39E-03,-8.79E-01,8.79E-01,-89.909
0.34,2.59E-03,-8.45E-01,8.45E-01,-89.824
0.37,4.42E-03,-8.05E-01,8.05E-01,-89.685
0.4,7.00E-03,-7.58E-01,7.58E-01,-89.471
0.43,1.03E-02,-7.06E-01,7.06E-01,-89.164
0.46,1.42E-02,-6.48E-01,6.48E-01,-88.746
0.49,1.83E-02,-5.84E-01,5.85E-01,-88.211
0.52,2.20E-02,-5.16E-01,5.17E-01,-87.56
0.55,2.47E-02,-4.45E-01,4.45E-01,-86.815
0.58,2.56E-02,-3.69E-01,3.70E-01,-86.028
0.61,2.39E-02,-2.91E-01,2.92E-01,-85.313
0.64,1.87E-02,-2.10E-01,2.11E-01,-84.898
0.67,1.06E-02,-1.24E-01,1.24E-01,-85.119
0.7,2.66E-03,-3.11E-02,3.12E-02,-85.118
0.73,1.52E-03,6.64E-02,6.64E-02,88.688
0.76,1.27E-02,1.63E-01,1.64E-01,85.562
0.79,3.96E-02,2.53E-01,2.56E-01,81.089
0.82,8.68E-02,3.25E-01,3.37E-01,75.053
0.85,1.54E-01,3.63E-01,3.94E-01,67.042
0.88,2.20E-01,3.48E-01,4.12E-01,57.666
0.91,2.53E-01,2.88E-01,3.83E-01,48.73
0.94,2.41E-01,2.17E-01,3.24E-01,41.949
0.97,2.00E-01,1.56E-01,2.54E-01,37.987
1,1.47E-01,1.12E-01,1.85E-01,37.396
1.03,9.33E-02,8.45E-02,1.26E-01,42.165
1.06,5.07E-02,6.90E-02,8.57E-02,53.705
1.09,2.22E-02,5.63E-02,6.05E-02,68.48
1.12,3.89E-03,4.11E-02,4.13E-02,84.596
1.15,-8.25E-03,2.36E-02,2.50E-02,109.271
1.18,-1.61E-02,5.38E-03,1.70E-02,161.501
1.21,-2.05E-02,-1.26E-02,2.40E-02,-148.339
1.24,-2.43E-02,-3.04E-02,3.90E-02,-128.654
1.27,-3.25E-02,-3.93E-02,5.10E-02,-129.565
1.3,-2.81E-02,-3.65E-02,4.61E-02,-127.603
1.33,-1.68E-02,-3.77E-02,4.12E-02,-114.01
1.36,-6.14E-03,-3.95E-02,4.00E-02,-98.822
1.39,2.89E-03,-4.05E-02,4.06E-02,-85.912
1.42,8.84E-03,-4.21E-02,4.30E-02,-78.125
1.45,1.92E-03,-4.53E-02,4.53E-02,-87.57
1.48,-1.40E-02,-1.67E-02,2.18E-02,-130.061
0.01,-3.52E-10,5.04E-01,5.04E-01,90
0.04,-1.46E-11,1.36E-01,1.36E-01,90
0.07,-9.87E-10,9.41E-02,9.41E-02,90
0.1,-1.74E-08,8.68E-02,8.68E-02,90
0.13,-1.40E-07,8.54E-02,8.54E-02,90
0.16,-8.73E-07,8.48E-02,8.48E-02,90.001
