0.01,4.03E-04,3.99E+04,3.99E+04,90
0.04,4.42E-02,1.73E+05,1.73E+05,90
0.07,8.39E-01,3.67E+05,3.67E+05,90
0.1,1.20E+01,6.93E+05,6.93E+05,89.999
0.13,9.58E+01,1.16E+06,1.16E+06,89.995
0.16,4.86E+02,1.74E+06,1.74E+06,89.984
0.19,1.84E+03,2.44E+06,2.44E+06,89.957
0.22,5.64E+03,3.23E+06,3.23E+06,89.9
0.25,1.47E+04,4.11E+06,4.11E+06,89.795
0.28,3.39E+04,5.05E+06,5.05E+06,89.616
0.31,7.02E+04,6.04E+06,6.04E+06,89.335
0.34,1.33E+05,7.04E+06,7.04E+06,88.92
0.37,2.31E+05,8.00E+06,8.00E+06,88.347
0.4,3.71E+05,8.86E+06,8.87E+06,87.602
0.43,5.51E+05,9.56E+06,9.58E+06,86.7
0.46,7.54E+05,1.00E+07,1.01E+07,85.696
0.49,9.43E+05,1.02E+07,1.02E+07,84.697
0.52,1.07E+06,9.93E+06,9.99E+06,83.863
0.55,1.08E+06,9.32E+06,9.39E+06,83.387
0.58,9.57E+05,8.34E+06,8.40E+06,83.46
0.61,7.11E+05,7.02E+06,7.06E+06,84.216
0.64,4.11E+05,5.38E+06,5.39E+06,85.625
0.67,1.59E+05,3.35E+06,3.35E+06,87.289
0.7,3.42E+04,7.43E+05,7.44E+05,87.363
0.73,-1.00E+05,-2.86E+06,2.86E+06,-92.002
0.76,-1.11E+06,-8.00E+06,8.08E+06,-97.873
0.79,-5.31E+06,-1.41E+07,1.50E+07,-110.68
0.82,-1.37E+07,-1.60E+07,2.11E+07,-130.587
0.85,-1.90E+07,-1.13E+07,2.21E+07,-149.35
0.88,-1.84E+07,-6.72E+06,1.96E+07,-159.933
0.91,-1.60E+07,-4.67E+06,1.66E+07,-163.705
0.94,-1.35E+07,-3.93E+06,1.40E+07,-163.758
0.97,-1.12E+07,-3.60E+06,1.17E+07,-162.12
1,-8.88E+06,-3.35E+06,9.49E+06,-159.357
1.03,-6.62E+06,-3.18E+06,7.35E+06,-154.319
1.06,-4.62E+06,-3.07E+06,5.55E+06,-146.402
1.09,-2.97E+06,-2.77E+06,4.06E+06,-136.934
1.12,-1.60E+06,-2.19E+06,2.71E+06,-126.063
1.15,-4.47E+05,-1.35E+06,1.42E+06,-108.334
1.18,5.04E+05,-3.05E+05,5.89E+05,-31.178
1.21,1.27E+06,8.82E+05,1.55E+06,34.747
1.24,2.03E+06,2.13E+06,2.94E+06,46.422
1.27,2.82E+06,2.67E+06,3.88E+06,43.428
1.3,2.36E+06,2.82E+06,3.67E+06,50.052
1.33,1.52E+06,3.44E+06,3.76E+06,66.084
1.36,7.17E+05,4.06E+06,4.13E+06,79.992
1.39,-3.32E+04,4.57E+06,4.57E+06,90.416
1.42,-4.88E+05,5.20E+06,5.22E+06,95.365
1.45,1.11E+06,5.73E+06,5.83E+06,79.075
1.48,2.09E+06,1.32E+06,2.47E+06,32.266
0.01,4.05E-04,4.00E+04,4.00E+04,90
0.04,4.44E-02,1.73E+05,1.73E+05,90
0.07,8.42E-01,3.68E+05,3.68E+05,90
0.1,1.21E+01,6.95E+05,6.95E+05,89.999
0.13,9.61E+01,1.16E+06,1.16E+06,89.995
0.16,4.88E+02,1.75E+06,1.75E+06,89.984
0.19,1.85E+03,2.45E+06,2.45E+06,89.957
0.22,5.66E+03,3.24E+06,3.24E+06,89.9
0.25,1.48E+04,4.12E+06,4.12E+06,89.795
0.28,3.40E+04,5.07E+06,5.07E+06,89.616
0.31,7.04E+04,6.06E+06,6.06E+06,89.335
0.34,1.33E+05,7.06E+06,7.07E+06,88.92
0.37,2.32E+05,8.03E+06,8.03E+06,88.347
0.4,3.72E+05,8.90E+06,8.90E+06,87.603
0.43,5.53E+05,9.60E+06,9.61E+06,86.702
0.46,7.56E+05,1.01E+07,1.01E+07,85.701
0.49,9.44E+05,1.02E+07,1.02E+07,84.707
0.52,1.07E+06,9.96E+06,1.00E+07,83.881
0.55,1.08E+06,9.34E+06,9.40E+06,83.422
0.58,9.47E+05,8.35E+06,8.40E+06,83.526
0.61,6.96E+05,7.01E+06,7.05E+06,84.334
0.64,3.90E+05,5.35E+06,5.36E+06,85.827
0.67,1.37E+05,3.30E+06,3.30E+06,87.624
0.7,2.15E+04,6.55E+05,6.56E+05,88.117
0.73,-9.52E+04,-3.02E+06,3.02E+06,-91.808
0.76,-1.10E+06,-8.29E+06,8.36E+06,-97.585
0.79,-5.42E+06,-1.46E+07,1.55E+07,-110.419
0.82,-1.41E+07,-1.66E+07,2.18E+07,-130.387
0.85,-1.96E+07,-1.17E+07,2.28E+07,-149.218
0.88,-1.90E+07,-6.96E+06,2.02E+07,-159.868
0.91,-1.65E+07,-4.83E+06,1.72E+07,-163.703
0.94,-1.40E+07,-4.05E+06,1.45E+07,-163.822
0.97,-1.16E+07,-3.70E+06,1.22E+07,-162.278
1,-9.25E+06,-3.42E+06,9.86E+06,-159.683
1.03,-6.90E+06,-3.24E+06,7.63E+06,-154.884
1.06,-4.81E+06,-3.11E+06,5.73E+06,-147.131
1.09,-3.07E+06,-2.80E+06,4.16E+06,-137.625
1.12,-1.63E+06,-2.20E+06,2.74E+06,-126.494
1.15,-4.17E+05,-1.31E+06,1.38E+06,-107.613
1.18,5.85E+05,-1.98E+05,6.17E+05,-18.665
