0.01,-4.86E-10,5.42E+00,5.42E+00,90
0.04,2.52E-10,1.47E+00,1.47E+00,90
0.07,-9.01E-09,1.02E+00,1.02E+00,90
0.1,-1.84E-07,9.41E-01,9.41E-01,90
0.13,-1.60E-06,9.31E-01,9.31E-01,90
0.16,-8.07E-06,9.26E-01,9.26E-01,90
0.19,-3.99E-05,9.01E-01,9.01E-01,90.003
0.22,-1.10E-04,8.95E-01,8.95E-01,90.007
0.25,-2.83E-04,8.78E-01,8.78E-01,90.018
0.28,-6.43E-04,8.57E-01,8.57E-01,90.043
0.31,-1.31E-03,8.30E-01,8.30E-01,90.09
0.34,-2.43E-03,7.98E-01,7.98E-01,90.174
0.37,-4.14E-03,7.61E-01,7.61E-01,90.311
0.4,-6.51E-03,7.18E-01,7.18E-01,90.519
0.43,-9.51E-03,6.70E-01,6.70E-01,90.813
0.46,-1.29E-02,6.17E-01,6.17E-01,91.2
0.49,-1.63E-02,5.59E-01,5.60E-01,91.671
0.52,-1.91E-02,4.98E-01,4.98E-01,92.193
0.55,-2.04E-02,4.34E-01,4.34E-01,92.695
0.58,-1.95E-02,3.66E-01,3.67E-01,93.041
0.61,-1.55E-02,2.96E-01,2.96E-01,92.998
0.64,-8.58E-03,2.22E-01,2.22E-01,92.213
0.67,-7.76E-04,1.43E-01,1.43E-01,90.31
0.7,2.68E-03,6.03E-02,6.04E-02,87.46
0.73,-3.45E-03,-2.11E-02,2.14E-02,-99.293
0.76,-1.87E-02,-9.30E-02,9.49E-02,-101.392
0.79,-4.07E-02,-1.52E-01,1.57E-01,-104.979
0.82,-7.01E-02,-1.95E-01,2.07E-01,-109.768
0.85,-1.06E-01,-2.14E-01,2.39E-01,-116.451
0.88,-1.38E-01,-2.01E-01,2.44E-01,-124.532
0.91,-1.47E-01,-1.63E-01,2.19E-01,-132.17
0.94,-1.31E-01,-1.20E-01,1.78E-01,-137.452
0.97,-1.00E-01,-8.64E-02,1.32E-01,-139.25
1,-6.64E-02,-6.37E-02,9.20E-02,-136.181
1.03,-3.74E-02,-5.08E-02,6.31E-02,-126.368
1.06,-1.83E-02,-4.28E-02,4.66E-02,-113.101
1.09,-7.91E-03,-3.45E-02,3.54E-02,-102.914
1.12,-2.26E-03,-2.48E-02,2.49E-02,-95.2
1.15,1.14E-03,-1.56E-02,1.57E-02,-85.813
1.18,3.10E-03,-8.67E-03,9.21E-03,-70.298
1.21,3.69E-03,-5.02E-03,6.23E-03,-53.636
1.24,2.47E-03,-5.17E-03,5.73E-03,-64.453
1.27,-2.55E-03,-7.09E-03,7.53E-03,-109.816
1.3,-6.70E-03,-6.22E-03,9.15E-03,-137.117
1.33,-7.29E-03,-6.49E-03,9.76E-03,-138.308
