    0.400;   0.040;   0.360;-8.494E+02;-1.283E+04; 1.285E+04; -93.789
    0.430;   0.040;   0.390;-1.511E+03;-1.795E+04; 1.801E+04; -94.813
    0.460;   0.040;   0.420;-2.561E+03;-2.255E+04; 2.270E+04; -96.478
    0.490;   0.040;   0.450;-4.840E+03;-2.720E+04; 2.763E+04;-100.088
    0.520;   0.040;   0.480;-7.331E+03;-3.097E+04; 3.183E+04;-103.318
    0.550;   0.040;   0.510;-6.508E+03;-3.307E+04; 3.371E+04;-101.132
    0.580;   0.040;   0.540;-6.918E+03;-3.086E+04; 3.163E+04;-102.633
    0.610;   0.040;   0.570;-1.010E+03;-2.340E+04; 2.343E+04; -92.472
    0.640;   0.040;   0.600;-6.819E+01;-1.669E+04; 1.669E+04; -90.234
    0.670;   0.040;   0.630; 1.123E+04;-5.066E+03; 1.232E+04; -24.284
    0.700;   0.040;   0.660; 1.336E+04; 4.856E+03; 1.422E+04;  19.969
    0.730;   0.040;   0.690; 1.430E+04; 2.059E+04; 2.507E+04;  55.216
    0.760;   0.040;   0.720; 3.027E+04; 6.473E+04; 7.146E+04;  64.938
    0.790;   0.040;   0.750; 1.134E+05; 5.250E+04; 1.250E+05;  24.837
    0.820;   0.040;   0.780;-1.751E+05; 1.825E+05; 2.529E+05; 133.826
    0.850;   0.040;   0.810; 2.870E+05; 2.520E+05; 3.819E+05;  41.286
    0.880;   0.040;   0.840; 9.266E+06;-1.184E+07; 1.504E+07; -51.954
    0.910;   0.040;   0.870; 2.856E+06;-2.522E+07; 2.538E+07; -83.540
    0.940;   0.040;   0.900; 2.851E+06;-8.903E+04; 2.853E+06;  -1.788
    0.970;   0.040;   0.930; 1.291E+07; 6.923E+06; 1.465E+07;  28.203
    1.000;   0.040;   0.960;-2.182E+07;-7.056E+06; 2.294E+07;-162.084
    1.030;   0.040;   0.990; 1.101E+07; 3.709E+06; 1.161E+07;  18.621
    1.060;   0.040;   1.020; 2.631E+06; 6.285E+05; 2.705E+06;  13.437
    1.090;   0.040;   1.050;-1.945E+06;-1.710E+06; 2.590E+06;-138.674
    1.120;   0.040;   1.080;-1.522E+05;-1.664E+05; 2.255E+05;-132.446
    1.150;   0.040;   1.110; 7.078E+05; 1.094E+06; 1.303E+06;  57.086
    1.180;   0.040;   1.140; 3.746E+05; 2.298E+05; 4.395E+05;  31.524
    1.210;   0.040;   1.170;-4.782E+05;-1.611E+05; 5.046E+05;-161.382
    1.240;   0.040;   1.200;-3.965E+06; 2.501E+06; 4.688E+06; 147.759
    1.270;   0.040;   1.230; 5.558E+06;-9.001E+06; 1.058E+07; -58.303
    1.300;   0.040;   1.260; 5.008E+05;-2.668E+06; 2.715E+06; -79.368
    1.330;   0.040;   1.290;-7.606E+05;-9.823E+05; 1.242E+06;-127.750
    1.360;   0.040;   1.320;-3.161E+05;-1.364E+05; 3.443E+05;-156.658
    1.390;   0.040;   1.350; 9.278E+05;-9.745E+04; 9.329E+05;  -5.996
    1.420;   0.040;   1.380;-7.590E+05; 3.494E+06; 3.575E+06; 102.258
